"","V1","V2"
"273","1552641_s_at","ATAD3A /// ATAD3B"
"274","1552643_at","ZNF626"
"275","1552644_a_at","PHC3"
"276","1552646_at","IL11RA"
"277","1552648_a_at","TNFRSF10A"
"278","1552649_a_at","RAD51L3-RFFL /// RFFL"
"279","1552651_a_at","RAD51L3-RFFL /// RFFL"
"280","1552652_at","HPS4"
"281","1552656_s_at","UHMK1"
"282","1552657_a_at","TXNDC2"
"283","1552658_a_at","NAV3"
"284","1552660_a_at","C5orf22"
"285","1552661_at","PCDHGB7"
"286","1552662_a_at","PCDHGB7"
"287","1552663_a_at","ERC1"
"288","1552664_at","FLCN"
"289","1552665_at","JMJD1C-AS1"
"290","1552666_a_at","LRRC7"
"291","1552667_a_at","SH2D3C"
"292","1552669_at","PPP1R3B"
"293","1552670_a_at","PPP1R3B"
"294","1552671_a_at","SLC9A7"
"295","1552672_a_at","IGSF3"
"296","1552673_at","RFX6"
"297","1552674_at","DIRC1"
"298","1552675_at","DNAJB7"
"299","1552676_at","UCN3"
"300","1552677_a_at","DIP2A"
"301","1552678_a_at","USP28"
"302","1552680_a_at","CASC5"
"303","1552682_a_at","CASC5"
"304","1552684_a_at","SENP8"
"305","1552685_a_at","GRHL1"
"306","1552686_at","CNBD2"
"307","1552687_a_at","CNBD2"
"308","1552689_at","CASKIN1"
"309","1552690_a_at","CACNA2D4"
"310","1552691_at","ARL11"
"311","1552693_at","ARL11"
"312","1552694_at","SLC2A13"
"313","1552695_a_at","SLC2A13"
"314","1552696_at","NIPA1"
"315","1552698_at","TUBA3FP"
"316","1552701_a_at","CARD16"
"317","1552703_s_at","CARD16 /// CASP1"
"318","1552705_at","DUSP19"
"319","1552708_a_at","DUSP19"
"320","1552711_a_at","CYB5D1"
"321","1552712_a_at","NMNAT2"
"322","1552713_a_at","SLC4A1"
"323","1552714_at","CREG2"
"324","1552715_a_at","RXFP1"
"325","1552716_at","SPEF2"
"326","1552717_s_at","CEP170 /// CEP170P1"
"327","1552718_at","DTD1"
"328","1552719_at","CASC4"
"329","1552721_a_at","FGF1"
"330","1552722_at","ARPP21"
"331","1552724_at","RHOXF1"
